//1.1
东南边儿	dōngnánbiānr	남동쪽
南边儿	nánbianr	남쪽
西南边儿	xīnánbianr	남서쪽
西边儿	xībianr	서쪽
西北边儿	xīběibiānr	북서쪽
//2.4
厨房	chúfáng	부엌, 주방
干	gàn	~하다(노동)
在	zài	~하고 있다
晚饭	wǎnfàn	저녁밥
上网	shàngwǎng	인터넷하다
网吧	wǎngbā	PC방
图书馆	túshūguǎn	도서관
打电话	dǎdiànhuà	전화를 걸다
音乐	yīnyuè	음악
说话	shuōhuà	말하다, 이야기하다
//2.5
了	le	~했다/변화의 어기조사
已经	yǐjing	이미,벌써
还没	háiméi	아직 ~하지 않다
为什么	wèishénme	왜, 어째서
说	shuō	말하다
饿	è	배고프다
想	xiǎng	~하고 싶다
东西	dōngxi	물건
碗	wǎn	그릇
休息	xiūxi	쉬다, 휴식
//2.6
喜欢	xǐhuan	좋아하다
太	tài	너무
爱	ài	즐기다, 좋아하다
点	diǎn	주문하다
比萨	bǐsà	피자
药	yào	약
有点儿	yǒudiǎnr	조금,약간
四川	Sìchuān	쓰촨
海水	hǎishuǐ	바닷물,해수
非常	fēicháng	대단히,매우
电影	diànyǐng	영화
运动	yùndòng	운동
甜	tián	달다
酸	suān	시다
苦	kǔ	쓰다
辣	là	맵다
咸	xián	짜다
淡	dàn	싱겁다
//2.7
一个人	yígèrén	혼자
和~一起	héyìqǐ	~와 함께
从~到~	cóng~dào~	~부터~까지
家人	jiārén	가족
旅游	lǚyóu	여행,여행하다
上海	Shànghǎi	상하이
//2.8
来	lái	오다
首尔	Shǒu'ěr	서울
火车	huǒchē	기차
东京	Dōngjīng	도쿄
纽约	Niǔyuē	뉴욕
//2.9
离	lí	~에서, ~로부터
远	yuǎn	멀다
见	jiàn	보다,만나다
首都	shǒudū	수도
北京大学	BěijīngDàxué	베이징대학교
近	jìn	가깝다
晚	wǎn	늦다
快	kuài	빠르다
慢	màn	느리다
的	de	확인,긍정의 어기조사
//2.10
会	huì	~할 수 있다,~할 줄 알다
多长时间	duō cháng shíjiān	얼마(시간)
能	néng	~할 수 있다
还	hái	아직, 아직도
天	tiān	하루, 일
小时	xiǎoshí	시간
分钟	fēnzhōng	분
游泳	yóuyǒng	수영하다
酒	jiǔ	술
瓶	píng	병
写	xiě	쓰다
字	zì	글자
//2.11
请问	qǐngwèn	말씀 좀 묻겠습니다
楼	lóu	층,건물
笔记本电脑	bǐjìběndiànnǎo	노트북
颜色	yánsè	색
白	bái	희다, 하얗다
还是	háishi	또는, 아니면
红	hóng	붉다, 빨갛다
漂亮	piàoliang	아름답다, 예쁘다
唱	chàng	노래하다, (노래를)부르다
冰	bīng	아이스, 얼음을 넣은
//2.12
过	guo	~한 적이 있다
台湾	Táiwān	타이완
常	cháng	자주, 종종
因为	yīnwèi	~때문에
香港	Xiānggǎng	홍콩
澳门	àomén	마카오
次	cì	번, 회
酒店	jiǔdiàn	호텔
电影院	diànyǐngyuàn	영화관
每	měi	매, ~마다
//2.13
化妆品	huàzhuāngpǐn	화장품
件	jiàn	벌(옷을 세는 단위)
花	huā	소비하다, 쓰다
千	qiān	1000,천
给	gěi	~에게 주다
百货商场	bǎihuò shāngchǎng	백화점
真	zhēn	정말
便宜	piányi	싸다
张	zhāng	장 (종이를 세는 단위)
地图	dìtú	지도
双	shuāng	쌍, 켤레(신발, 양말을 세는 단위)
矿泉水	kuàngquánshuǐ	광천수, 생수
盒	hé	통,갑(상자를 세는 단위)
百	bǎi	100,백
元	yuán	위안(화폐 단위)
酒吧	jiǔbā	술집, 바
//2.14
季节	jìjié	계절
最	zuì	가장, 제일
春天	chūntiān	봄
比	bǐ	~보다, ~에 비하여
夏天	xiàtiān	여름
凉快	liángkuai	서늘하다, 시원하다
冬天	dōngtiān	겨울
暖和	nuǎnhuo	따뜻하다
秋天	qiūtiān	가을
怎么样	zěnmeyàng	어떻다, 어때
可是	kěshì	그러나, 그런데
想	xiǎng	그리워하다, 생각하다
花儿	huār	꽃
爬山	páshān	등산하다
冷	lěng	춥다, 차다
滑雪	huáxuě	스키를 타다
哈尔滨	Hā'ěrbīn	하얼빈
米	mǐ	미터
高	gāo	높다, 크다
矮	ǎi	낮다, 작다
//2.15
天气	tiānqì	날씨
下雨	xiàyǔ	비가 내리다
着	zhe	~하고 있다
刮风	guāfēng	바람이 불다
带	dài	지니다, 휴대하다
雨伞	yǔsǎn	우산
开	kāi	열다, 켜다
门窗	ménchuāng	문과 창문
关	guān	닫다, 끄다
站	zhàn	서다
报	bào	신문
躺	tǎng	눕다
走	zǒu	걷다, 걸어가다
//2.16
得	de	보어격 구조조사
睡	shuì	(잠을)자다
昨晚	zuówǎn	어제 저녁
跳舞	tiàowǔ	춤을 추다
忙	máng	바쁘다
累	lèi	피곤하다, 지치다
